codigo_produto,categoria,custo_unitario,preco_venda,unidades_vendidas_90d,estoque_atual
PROD-14235,Beleza e Perfumaria,297.29,627.75,54,189.0
PROD-14236,Beleza e Perfumaria,66.42,101.9,39,221.0
PROD-14237,Beleza e Perfumaria,267.56,531.51,62,206.0
PROD-14238,Vestuário,268.69,573.29,261,83.0
PROD-14239,Alimentos e Bebidas,190.39,295.08,58,127.0
PROD-14240,Vestuário,53.41,87.36,30,48.0
PROD-14241,Utilidades Domésticas,284.21,416.65,32,80.0
PROD-14242,Utilidades Domésticas,95.08,149.54,6,232.0
PROD-14243,Utilidades Domésticas,233.7,401.04,84,216.0
PROD-14244,Vestuário,72.7,103.27,142,42.0
PROD-14245,Utilidades Domésticas,243.33,443.06,198,91.0
PROD-14246,Eletrônicos,79.48,112.41,87,202.0
PROD-14247,Eletrônicos,268.31,364.13,12,119.0
PROD-14248,Utilidades Domésticas,158.2,281.56,55,299.0
PROD-14249,Vestuário,58.82,98.66,24,93.0
PROD-14250,Beleza e Perfumaria,134.32,201.56,840,199.0
PROD-14251,Eletrônicos,100.55,184.65,407,174.0
PROD-14252,Utilidades Domésticas,25.43,34.58,153,21.0
PROD-14253,Alimentos e Bebidas,78.7,131.41,134,160.0
PROD-14254,Utilidades Domésticas,142.25,198.82,17,254.0
PROD-14255,Utilidades Domésticas,87.27,161.73,84,112.0
PROD-14256,Beleza e Perfumaria,141.54,292.35,24,102.0
PROD-14257,Vestuário,31.52,52.27,360,50.0
PROD-14258,Beleza e Perfumaria,194.76,367.82,127,144.0
PROD-14259,Vestuário,23.2,44.99,49,201.0
PROD-14260,Eletrônicos,265.49,583.83,12,26.0
PROD-14261,Vestuário,227.2,315.55,372,250.0
PROD-14262,Utilidades Domésticas,29.28,62.48,57,95.0
PROD-14263,Alimentos e Bebidas,240.86,466.12,435,206.0
PROD-14264,Utilidades Domésticas,213.03,293.39,285,204.0
PROD-14265,Utilidades Domésticas,266.56,499.77,244,201.0
PROD-14266,Vestuário,298.28,474.27,72,196.0
PROD-14267,Beleza e Perfumaria,78.27,143.41,297,25.0
PROD-14268,Eletrônicos,66.0,86.37,8,230.0
PROD-14269,Utilidades Domésticas,47.04,75.91,13,90.0
PROD-14270,Vestuário,90.69,157.54,62,298.0
PROD-14271,Alimentos e Bebidas,9.29,18.16,100,163.0
PROD-14272,Vestuário,150.29,308.59,477,114.0
PROD-14273,Vestuário,11.64,24.91,157,33.0
PROD-14274,Vestuário,47.44,62.89,168,288.0
PROD-14275,Vestuário,183.84,394.98,5,68.0
PROD-14276,Vestuário,172.08,363.77,96,50.0
PROD-14277,Vestuário,119.44,188.16,21,0.0
PROD-14278,Alimentos e Bebidas,24.18,36.23,576,18.0
PROD-14279,Utilidades Domésticas,291.87,622.35,25,61.0
PROD-14280,Alimentos e Bebidas,104.31,200.39,67,134.0
PROD-14281,Utilidades Domésticas,120.99,173.64,102,267.0
PROD-14282,Alimentos e Bebidas,299.09,523.66,140,102.0
PROD-14283,Alimentos e Bebidas,207.48,289.69,145,128.0
PROD-14284,Alimentos e Bebidas,91.72,179.57,143,58.0
PROD-14285,Vestuário,195.97,336.71,56,275.0
PROD-14286,Alimentos e Bebidas,148.24,306.44,69,143.0
PROD-14287,Eletrônicos,7.08,12.65,281,145.0
PROD-14288,Utilidades Domésticas,155.28,265.37,121,95.0
PROD-14289,Utilidades Domésticas,204.28,409.02,152,191.0
PROD-14290,Vestuário,177.71,280.2,5,8.0
PROD-14291,Utilidades Domésticas,290.91,422.06,58,141.0
PROD-14292,Eletrônicos,149.57,325.03,140,173.0
PROD-14293,Vestuário,80.49,160.39,462,21.0
PROD-14294,Eletrônicos,76.73,100.1,42,15.0
PROD-14295,Utilidades Domésticas,235.11,306.59,49,229.0
PROD-14296,Utilidades Domésticas,47.99,82.91,55,40.0
PROD-14297,Utilidades Domésticas,124.69,236.88,258,260.0
PROD-14298,Eletrônicos,181.54,300.01,12,283.0
PROD-14299,Alimentos e Bebidas,240.91,474.18,85,208.0
PROD-14300,Utilidades Domésticas,119.0,205.06,59,294.0
PROD-14301,Vestuário,188.72,320.85,294,274.0
PROD-14302,Alimentos e Bebidas,201.22,380.89,276,124.0
PROD-14303,Eletrônicos,55.7,121.64,431,48.0
PROD-14304,Vestuário,33.42,62.56,122,35.0
PROD-14305,Alimentos e Bebidas,277.15,552.6,157,107.0
PROD-14306,Alimentos e Bebidas,148.72,245.86,52,27.0
PROD-14307,Eletrônicos,195.39,409.2,30,266.0
PROD-14308,Vestuário,50.28,76.32,656,250.0
PROD-14309,Vestuário,139.73,259.4,284,126.0
PROD-14310,Vestuário,59.77,126.04,109,173.0
PROD-14311,Vestuário,21.14,32.28,345,81.0
PROD-14312,Vestuário,273.96,467.63,81,93.0
PROD-14313,Alimentos e Bebidas,178.54,256.14,139,292.0
PROD-14314,Vestuário,135.06,243.12,5,81.0
PROD-14315,Utilidades Domésticas,253.23,405.3,124,123.0
PROD-14316,Utilidades Domésticas,151.74,214.35,220,264.0
PROD-14317,Eletrônicos,33.34,62.26,18,197.0
PROD-14318,Eletrônicos,244.03,418.38,109,74.0
PROD-14319,Utilidades Domésticas,152.21,266.74,409,6.0
PROD-14320,Eletrônicos,128.69,260.45,128,189.0
PROD-14321,Eletrônicos,222.53,357.97,108,239.0
PROD-14322,Eletrônicos,178.92,268.3,84,31.0
PROD-14323,Alimentos e Bebidas,184.95,266.34,80,271.0
PROD-14324,Alimentos e Bebidas,264.03,377.29,7,191.0
PROD-14325,Beleza e Perfumaria,142.59,299.63,95,163.0
PROD-14326,Utilidades Domésticas,89.54,151.67,12,46.0
PROD-14327,Vestuário,98.11,205.19,7,100.0
PROD-14328,Vestuário,286.46,520.03,25,247.0
PROD-14329,Vestuário,16.13,27.92,558,23.0
PROD-14330,Vestuário,157.0,318.88,63,29.0
PROD-14331,Eletrônicos,233.81,461.06,40,59.0
PROD-14332,Eletrônicos,234.08,337.5,263,194.0
PROD-14333,Eletrônicos,275.26,358.17,47,168.0
PROD-14334,Vestuário,269.45,459.87,122,148.0
PROD-14335,Vestuário,295.98,473.63,53,85.0
PROD-14336,Beleza e Perfumaria,89.39,170.29,11,155.0
PROD-14337,Alimentos e Bebidas,106.74,160.98,109,45.0
PROD-14338,Beleza e Perfumaria,211.07,432.66,222,49.0
PROD-14339,Vestuário,81.91,121.88,184,137.0
PROD-14340,Alimentos e Bebidas,204.3,308.25,104,289.0
PROD-14341,Vestuário,183.54,316.57,83,35.0
PROD-14342,Vestuário,141.48,225.49,14,11.0
PROD-14343,Eletrônicos,72.74,156.12,238,34.0
PROD-14344,Beleza e Perfumaria,91.49,130.94,113,261.0
PROD-14345,Beleza e Perfumaria,251.45,429.62,375,265.0
PROD-14346,Eletrônicos,239.46,411.62,71,0.0
PROD-14347,Vestuário,34.06,50.67,278,93.0
PROD-14348,Vestuário,62.67,83.32,104,89.0
PROD-14349,Vestuário,75.91,125.81,36,40.0
PROD-14350,Vestuário,68.69,139.38,26,287.0
PROD-14351,Eletrônicos,194.1,364.17,152,172.0
PROD-14352,Alimentos e Bebidas,47.38,100.37,201,85.0
PROD-14353,Vestuário,54.71,86.55,208,51.0
PROD-14354,Vestuário,242.21,457.63,69,20.0
PROD-14355,Eletrônicos,207.34,387.38,64,161.0
PROD-14356,Vestuário,37.67,81.13,326,62.0
PROD-14357,Beleza e Perfumaria,151.59,260.74,160,150.0
PROD-14358,Vestuário,20.12,39.57,79,203.0
PROD-14359,Utilidades Domésticas,237.69,472.0,251,75.0
PROD-14360,Utilidades Domésticas,198.15,412.66,23,132.0
PROD-14361,Beleza e Perfumaria,66.11,133.82,148,26.0
PROD-14362,Utilidades Domésticas,5.63,10.64,34,295.0
PROD-14363,Alimentos e Bebidas,236.74,410.56,169,191.0
PROD-14364,Utilidades Domésticas,12.32,18.53,64,53.0
PROD-14365,Eletrônicos,275.25,600.05,217,266.0
PROD-14366,Alimentos e Bebidas,82.12,121.78,65,32.0
PROD-14367,Beleza e Perfumaria,101.55,194.96,56,130.0
PROD-14368,Utilidades Domésticas,157.29,287.45,107,66.0
PROD-14369,Beleza e Perfumaria,106.33,195.39,75,39.0
PROD-14370,Utilidades Domésticas,82.85,133.37,215,82.0
PROD-14371,Utilidades Domésticas,112.1,209.24,56,260.0
PROD-14372,Utilidades Domésticas,272.88,451.14,275,248.0
PROD-14373,Utilidades Domésticas,180.44,326.61,130,188.0
PROD-14374,Alimentos e Bebidas,46.16,61.72,5,252.0
PROD-14375,Beleza e Perfumaria,156.83,232.38,21,137.0
PROD-14376,Utilidades Domésticas,111.03,240.66,13,243.0
PROD-14377,Utilidades Domésticas,101.94,155.63,85,113.0
PROD-14378,Alimentos e Bebidas,199.25,316.78,32,30.0
PROD-14379,Vestuário,199.28,338.13,263,85.0
PROD-14380,Eletrônicos,251.71,435.33,62,126.0
PROD-14381,Beleza e Perfumaria,80.5,127.37,167,228.0
PROD-14382,Alimentos e Bebidas,147.7,233.8,24,260.0
PROD-14383,Vestuário,226.41,354.49,370,9.0
PROD-14384,Eletrônicos,238.11,397.31,430,296.0
PROD-14385,Utilidades Domésticas,34.54,53.28,106,169.0
PROD-14386,Utilidades Domésticas,157.69,243.41,233,72.0
PROD-14387,Utilidades Domésticas,294.21,547.82,231,67.0
PROD-14388,Alimentos e Bebidas,19.25,40.83,228,288.0
PROD-14389,Vestuário,76.17,99.1,225,240.0
PROD-14390,Vestuário,72.55,113.21,31,296.0
PROD-14391,Eletrônicos,238.77,442.03,15,72.0
PROD-14392,Utilidades Domésticas,246.14,424.62,273,31.0
PROD-14393,Eletrônicos,142.69,191.55,42,114.0
PROD-14394,Alimentos e Bebidas,62.25,94.09,18,81.0
PROD-14395,Alimentos e Bebidas,151.5,294.58,60,22.0
PROD-14396,Alimentos e Bebidas,197.05,271.26,95,125.0
PROD-14397,Beleza e Perfumaria,88.98,160.54,382,266.0
PROD-14398,Eletrônicos,36.88,61.31,35,257.0
PROD-14399,Utilidades Domésticas,146.46,306.86,164,36.0
PROD-14400,Eletrônicos,122.81,191.17,674,264.0
PROD-14401,Eletrônicos,276.85,593.39,120,288.0
PROD-14402,Vestuário,149.88,258.58,587,205.0
PROD-14403,Eletrônicos,167.35,230.78,1058,270.0
PROD-14404,Utilidades Domésticas,127.07,248.22,69,89.0
PROD-14405,Alimentos e Bebidas,270.98,419.93,5,109.0
PROD-14406,Eletrônicos,62.64,88.67,276,297.0
PROD-14407,Eletrônicos,20.52,32.82,262,152.0
PROD-14408,Alimentos e Bebidas,145.07,209.61,130,1.0
PROD-14409,Utilidades Domésticas,282.83,426.66,226,203.0
PROD-14410,Vestuário,132.22,244.74,305,110.0
PROD-14411,Alimentos e Bebidas,134.82,266.45,252,56.0
PROD-14412,Utilidades Domésticas,262.77,369.86,265,103.0
PROD-14413,Alimentos e Bebidas,269.37,540.37,100,278.0
PROD-14414,Vestuário,59.37,96.78,67,266.0
PROD-14415,Alimentos e Bebidas,221.59,430.03,441,288.0
PROD-14416,Alimentos e Bebidas,245.45,501.76,12,106.0
PROD-14417,Utilidades Domésticas,34.21,49.93,274,186.0
PROD-14418,Alimentos e Bebidas,254.73,360.8,49,238.0
PROD-14419,Beleza e Perfumaria,98.99,174.82,52,244.0
PROD-14420,Vestuário,58.01,112.5,223,42.0
PROD-14421,Beleza e Perfumaria,282.92,594.13,242,169.0
PROD-14422,Alimentos e Bebidas,139.15,291.43,7,6.0
PROD-14423,Alimentos e Bebidas,241.53,461.34,103,125.0
PROD-14424,Eletrônicos,80.05,117.19,71,185.0
PROD-14425,Vestuário,216.04,304.86,271,149.0
PROD-14426,Utilidades Domésticas,67.31,90.12,372,49.0
PROD-14427,Utilidades Domésticas,252.29,541.0,30,257.0
PROD-14428,Eletrônicos,11.61,22.07,7,21.0
PROD-14429,Alimentos e Bebidas,201.0,265.08,33,249.0
PROD-14430,Eletrônicos,110.55,149.32,306,108.0
PROD-14431,Beleza e Perfumaria,35.53,65.04,13,75.0
PROD-14432,Utilidades Domésticas,36.88,56.99,116,49.0
PROD-14433,Eletrônicos,179.69,394.31,9,24.0
PROD-14434,Utilidades Domésticas,70.49,107.2,20,103.0
PROD-14435,Beleza e Perfumaria,47.37,72.34,96,52.0
PROD-14436,Vestuário,81.45,107.06,185,198.0
PROD-14437,Utilidades Domésticas,213.54,389.52,212,296.0
PROD-14438,Vestuário,246.8,405.54,80,25.0
PROD-14439,Alimentos e Bebidas,292.54,406.11,247,282.0
PROD-14440,Vestuário,146.05,309.9,167,193.0
PROD-14441,Vestuário,130.99,211.69,41,135.0
PROD-14442,Vestuário,173.35,308.29,29,219.0
PROD-14443,Eletrônicos,148.43,211.33,654,212.0
PROD-14444,Utilidades Domésticas,127.84,238.37,125,132.0
PROD-14445,Vestuário,268.25,452.08,91,81.0
PROD-14446,Vestuário,83.43,162.65,157,15.0
PROD-14447,Utilidades Domésticas,207.39,370.57,287,152.0
PROD-14448,Alimentos e Bebidas,287.94,462.19,33,53.0
PROD-14449,Alimentos e Bebidas,183.26,248.17,340,95.0
PROD-14450,Beleza e Perfumaria,40.44,87.52,192,103.0
PROD-14451,Utilidades Domésticas,191.8,389.61,23,293.0
PROD-14452,Vestuário,263.22,525.43,110,276.0
PROD-14453,Alimentos e Bebidas,272.51,534.36,75,95.0
PROD-14454,Beleza e Perfumaria,166.27,307.75,66,172.0
PROD-14455,Vestuário,41.05,75.2,18,274.0
PROD-14456,Vestuário,57.92,97.92,131,113.0
PROD-14457,Vestuário,165.2,294.34,34,41.0
PROD-14458,Eletrônicos,277.47,425.02,62,59.0
PROD-14459,Utilidades Domésticas,246.82,438.65,222,1.0
PROD-14460,Utilidades Domésticas,138.64,184.01,236,284.0
PROD-14461,Beleza e Perfumaria,144.88,224.05,659,67.0
PROD-14462,Utilidades Domésticas,29.34,44.28,172,203.0
PROD-14463,Vestuário,284.97,510.37,73,231.0
PROD-14464,Eletrônicos,223.38,475.37,249,292.0
PROD-14465,Beleza e Perfumaria,112.01,182.16,59,161.0
PROD-14466,Vestuário,46.59,90.45,97,89.0
PROD-14467,Vestuário,98.3,198.94,464,217.0
PROD-14468,Beleza e Perfumaria,279.2,392.48,156,116.0
PROD-14469,Alimentos e Bebidas,112.11,206.69,195,229.0
PROD-14470,Vestuário,200.33,342.45,322,28.0
PROD-14471,Utilidades Domésticas,281.63,461.42,151,128.0
PROD-14472,Beleza e Perfumaria,207.68,345.06,9,188.0
PROD-14473,Eletrônicos,241.83,527.24,8,132.0
PROD-14474,Utilidades Domésticas,168.98,243.25,61,41.0
PROD-14475,Vestuário,95.31,182.75,207,289.0
PROD-14476,Alimentos e Bebidas,187.79,364.32,44,63.0
PROD-14477,Beleza e Perfumaria,190.6,365.04,50,183.0
PROD-14478,Beleza e Perfumaria,244.18,330.26,113,88.0
PROD-14479,Vestuário,37.29,70.27,53,23.0
PROD-14480,Vestuário,201.03,389.27,277,93.0
PROD-14481,Eletrônicos,91.51,184.96,229,139.0
PROD-14482,Alimentos e Bebidas,23.13,38.36,90,151.0
PROD-14483,Eletrônicos,69.49,114.86,77,211.0
PROD-14484,Vestuário,68.77,125.32,267,169.0
PROD-14485,Eletrônicos,292.82,434.61,46,50.0
PROD-14486,Vestuário,165.37,315.58,270,138.0
PROD-14487,Eletrônicos,294.63,637.84,99,248.0
PROD-14488,Utilidades Domésticas,59.04,80.81,399,258.0
PROD-14489,Vestuário,153.71,275.83,30,117.0
PROD-14490,Vestuário,204.82,436.61,88,66.0
PROD-14491,Utilidades Domésticas,153.72,249.35,165,18.0
PROD-14492,Utilidades Domésticas,195.39,306.68,78,186.0
PROD-14493,Vestuário,75.72,145.2,294,232.0
PROD-14494,Eletrônicos,28.68,39.28,424,13.0
PROD-14495,Utilidades Domésticas,126.34,189.48,63,154.0
PROD-14496,Vestuário,63.54,93.54,172,75.0
PROD-14497,Utilidades Domésticas,274.23,431.45,51,233.0
PROD-14498,Vestuário,150.05,250.58,16,47.0
PROD-14499,Vestuário,184.61,282.75,527,118.0
PROD-14500,Alimentos e Bebidas,99.97,141.13,184,193.0
PROD-14501,Utilidades Domésticas,17.09,34.24,150,25.0
PROD-14502,Beleza e Perfumaria,30.8,55.98,23,91.0
PROD-14503,Eletrônicos,133.13,196.49,106,18.0
PROD-14504,Alimentos e Bebidas,221.06,336.81,6,109.0
PROD-14505,Eletrônicos,125.75,201.13,135,95.0
PROD-14506,Alimentos e Bebidas,128.74,269.2,122,73.0
PROD-14507,Utilidades Domésticas,176.49,242.82,218,17.0
PROD-14508,Vestuário,103.47,197.9,249,121.0
PROD-14509,Beleza e Perfumaria,227.15,486.37,276,84.0
PROD-14510,Alimentos e Bebidas,282.33,590.18,745,86.0
PROD-14511,Beleza e Perfumaria,240.79,337.27,33,297.0
PROD-14512,Utilidades Domésticas,266.6,424.88,73,174.0
PROD-14513,Eletrônicos,201.72,405.0,13,298.0
PROD-14514,Vestuário,80.63,158.2,27,157.0
PROD-14515,Vestuário,10.54,19.81,369,1.0
PROD-14516,Vestuário,226.32,355.48,19,1.0
PROD-14517,Alimentos e Bebidas,263.24,355.85,242,146.0
PROD-14518,Alimentos e Bebidas,9.68,17.04,535,287.0
PROD-14519,Beleza e Perfumaria,111.2,233.64,395,105.0
PROD-14520,Vestuário,27.82,57.68,235,74.0
PROD-14521,Utilidades Domésticas,190.73,413.06,101,171.0
PROD-14522,Beleza e Perfumaria,257.35,522.65,307,102.0
PROD-14523,Utilidades Domésticas,44.6,70.59,7,21.0
PROD-14524,Vestuário,81.58,164.8,77,106.0
PROD-14525,Alimentos e Bebidas,225.52,470.89,146,78.0
PROD-14526,Vestuário,166.17,308.3,25,152.0
PROD-14527,Vestuário,117.27,238.48,15,255.0
PROD-14528,Vestuário,246.55,351.18,40,114.0
PROD-14529,Utilidades Domésticas,193.56,346.84,234,196.0
PROD-14530,Alimentos e Bebidas,125.82,216.99,107,172.0
PROD-14531,Alimentos e Bebidas,222.2,388.26,26,267.0
PROD-14532,Beleza e Perfumaria,210.93,380.63,514,36.0
PROD-14533,Eletrônicos,106.37,181.43,20,262.0
PROD-14534,Alimentos e Bebidas,286.23,399.99,94,203.0
PROD-14535,Utilidades Domésticas,133.72,225.87,184,36.0
PROD-14536,Vestuário,296.24,607.74,43,207.0
PROD-14537,Alimentos e Bebidas,288.95,495.57,80,203.0
PROD-14538,Vestuário,182.24,398.4,486,222.0
PROD-14539,Utilidades Domésticas,158.28,290.87,50,173.0
PROD-14540,Vestuário,276.25,408.58,39,85.0
PROD-14541,Vestuário,118.61,167.54,129,89.0
PROD-14542,Alimentos e Bebidas,19.65,33.7,161,73.0
PROD-14543,Vestuário,26.01,49.92,223,143.0
PROD-14544,Vestuário,150.13,314.45,57,217.0
PROD-14545,Vestuário,73.68,144.0,59,250.0
PROD-14546,Vestuário,80.74,145.0,321,238.0
PROD-14547,Alimentos e Bebidas,163.5,260.45,161,251.0
PROD-14548,Alimentos e Bebidas,190.33,410.14,130,270.0
PROD-14549,Alimentos e Bebidas,239.56,504.28,237,58.0
PROD-14550,Alimentos e Bebidas,268.13,543.21,119,53.0
PROD-14551,Vestuário,126.17,167.23,29,192.0
PROD-14552,Eletrônicos,182.15,349.86,235,224.0
PROD-14553,Utilidades Domésticas,253.79,488.55,62,104.0
PROD-14554,Utilidades Domésticas,239.23,350.35,31,200.0
PROD-14555,Vestuário,107.72,146.01,87,231.0
PROD-14556,Vestuário,299.61,448.47,86,4.0
PROD-14557,Alimentos e Bebidas,199.32,425.78,97,273.0
PROD-14558,Alimentos e Bebidas,104.51,201.58,115,248.0
PROD-14559,Alimentos e Bebidas,293.31,612.19,498,151.0
PROD-14560,Eletrônicos,298.95,495.15,114,38.0
PROD-14561,Utilidades Domésticas,27.49,58.27,36,212.0
PROD-14562,Eletrônicos,220.14,303.78,148,252.0
PROD-14563,Alimentos e Bebidas,119.38,240.85,152,100.0
PROD-14564,Utilidades Domésticas,50.12,93.01,27,133.0
PROD-14565,Alimentos e Bebidas,274.36,512.14,11,244.0
PROD-14566,Eletrônicos,209.52,320.58,103,172.0
PROD-14567,Beleza e Perfumaria,221.36,460.1,45,187.0
PROD-14568,Utilidades Domésticas,129.56,247.47,131,173.0
PROD-14569,Utilidades Domésticas,232.76,403.49,181,0.0
PROD-14570,Vestuário,232.57,314.54,318,39.0
PROD-14571,Vestuário,55.67,119.97,70,48.0
PROD-14572,Beleza e Perfumaria,220.88,405.64,18,164.0
PROD-14573,Alimentos e Bebidas,155.6,309.79,79,191.0
PROD-14574,Utilidades Domésticas,114.76,247.08,402,161.0
PROD-14575,Vestuário,186.56,376.38,25,34.0
PROD-14576,Vestuário,51.66,85.52,48,2.0
PROD-14577,Beleza e Perfumaria,112.18,191.72,84,174.0
PROD-14578,Alimentos e Bebidas,168.54,253.45,234,111.0
PROD-14579,Eletrônicos,296.6,488.6,225,156.0
PROD-14580,Vestuário,54.06,97.32,54,179.0
PROD-14581,Alimentos e Bebidas,278.34,380.92,112,267.0
PROD-14582,Eletrônicos,163.04,300.94,499,75.0
PROD-14583,Alimentos e Bebidas,163.24,336.98,84,174.0
PROD-14584,Vestuário,213.03,355.59,68,224.0
PROD-14585,Utilidades Domésticas,22.21,45.58,9,122.0
PROD-14586,Vestuário,24.69,43.69,235,78.0
PROD-14587,Beleza e Perfumaria,278.05,581.51,130,291.0
PROD-14588,Vestuário,64.22,85.6,214,271.0
PROD-14589,Alimentos e Bebidas,96.18,138.39,167,202.0
PROD-14590,Eletrônicos,250.16,408.54,167,148.0
PROD-14591,Utilidades Domésticas,144.98,269.12,145,152.0
PROD-14592,Beleza e Perfumaria,177.79,389.45,10,19.0
PROD-14593,Utilidades Domésticas,159.85,268.26,539,178.0
PROD-14594,Alimentos e Bebidas,129.73,229.21,148,216.0
PROD-14595,Alimentos e Bebidas,219.59,468.75,6,117.0
PROD-14596,Utilidades Domésticas,145.8,270.43,173,233.0
PROD-14597,Beleza e Perfumaria,112.42,177.76,398,277.0
PROD-14598,Beleza e Perfumaria,68.31,100.73,323,257.0
PROD-14599,Vestuário,18.16,24.81,64,74.0
PROD-14600,Beleza e Perfumaria,295.27,637.14,191,19.0
PROD-14601,Vestuário,264.49,479.18,46,292.0
PROD-14602,Vestuário,199.53,350.43,115,57.0
PROD-14603,Eletrônicos,151.8,315.13,12,110.0
PROD-14604,Vestuário,291.37,389.36,190,217.0
PROD-14605,Utilidades Domésticas,59.68,84.0,113,190.0
PROD-14606,Utilidades Domésticas,179.28,356.38,287,69.0
PROD-14607,Utilidades Domésticas,130.67,212.76,128,34.0
PROD-14608,Alimentos e Bebidas,144.84,311.52,373,130.0
PROD-14609,Alimentos e Bebidas,40.39,62.74,26,184.0
PROD-14610,Utilidades Domésticas,201.77,306.64,230,23.0
PROD-14611,Vestuário,136.95,288.76,346,263.0
PROD-14612,Utilidades Domésticas,144.5,191.53,155,142.0
PROD-14613,Alimentos e Bebidas,57.39,112.83,181,82.0
PROD-14614,Alimentos e Bebidas,162.96,280.84,91,12.0
PROD-14615,Alimentos e Bebidas,131.79,222.32,162,43.0
PROD-14616,Utilidades Domésticas,95.52,125.79,183,178.0
PROD-14617,Vestuário,209.16,298.14,81,133.0
PROD-14618,Vestuário,170.34,322.78,213,157.0
PROD-14619,Utilidades Domésticas,292.92,604.52,9,235.0
PROD-14620,Alimentos e Bebidas,158.54,335.85,216,86.0
PROD-14621,Utilidades Domésticas,230.22,475.88,6,153.0
PROD-14622,Vestuário,258.23,480.67,40,176.0
PROD-14623,Vestuário,252.53,450.47,20,94.0
PROD-14624,Utilidades Domésticas,245.15,535.54,150,84.0
PROD-14625,Alimentos e Bebidas,83.14,117.51,68,159.0
PROD-14626,Alimentos e Bebidas,181.86,261.67,187,201.0
PROD-14627,Vestuário,295.66,622.82,72,94.0
PROD-14628,Vestuário,284.27,504.8,175,263.0
PROD-14629,Alimentos e Bebidas,265.35,514.64,47,98.0
PROD-14630,Eletrônicos,231.14,429.07,225,124.0
PROD-14631,Utilidades Domésticas,31.13,41.08,416,99.0
PROD-14632,Utilidades Domésticas,130.86,258.07,425,130.0
PROD-14633,Vestuário,94.03,158.34,217,298.0
PROD-14634,Alimentos e Bebidas,119.49,217.23,77,73.0
PROD-14635,Alimentos e Bebidas,177.06,355.38,258,64.0
PROD-14636,Vestuário,121.09,263.59,100,197.0
PROD-14637,Vestuário,130.47,171.51,219,206.0
PROD-14638,Vestuário,183.32,301.88,162,85.0
PROD-14639,Alimentos e Bebidas,264.84,498.48,177,52.0
PROD-14640,Alimentos e Bebidas,50.79,86.09,732,282.0
PROD-14641,Alimentos e Bebidas,84.73,180.51,380,206.0
PROD-14642,Utilidades Domésticas,9.85,20.87,55,65.0
PROD-14643,Utilidades Domésticas,268.06,561.99,110,64.0
PROD-14644,Alimentos e Bebidas,18.41,36.7,83,52.0
PROD-14645,Utilidades Domésticas,250.05,450.0,12,143.0
PROD-14646,Vestuário,253.48,476.44,17,135.0
PROD-14647,Utilidades Domésticas,11.11,17.11,281,71.0
PROD-14648,Alimentos e Bebidas,263.1,431.18,21,210.0
PROD-14649,Utilidades Domésticas,147.27,275.76,95,52.0
PROD-14650,Alimentos e Bebidas,288.89,438.68,252,29.0
PROD-14651,Vestuário,170.65,224.77,169,41.0
PROD-14652,Alimentos e Bebidas,238.34,500.34,51,98.0
PROD-14653,Vestuário,179.93,328.25,31,2.0
PROD-14654,Alimentos e Bebidas,246.91,528.54,81,280.0
PROD-14655,Alimentos e Bebidas,229.67,301.19,51,4.0
PROD-14656,Utilidades Domésticas,60.84,127.39,267,85.0
PROD-14657,Alimentos e Bebidas,171.01,265.91,223,101.0
PROD-14658,Alimentos e Bebidas,120.93,167.68,23,291.0
PROD-14659,Vestuário,7.65,14.32,6,115.0
PROD-14660,Beleza e Perfumaria,187.06,340.04,133,114.0
PROD-14661,Utilidades Domésticas,68.94,116.2,66,228.0
PROD-14662,Utilidades Domésticas,263.79,426.15,39,108.0
PROD-14663,Vestuário,207.04,297.57,176,224.0
PROD-14664,Alimentos e Bebidas,45.48,69.53,34,119.0
PROD-14665,Eletrônicos,22.5,46.98,64,191.0
PROD-14666,Alimentos e Bebidas,270.06,485.01,262,229.0
PROD-14667,Eletrônicos,288.54,448.35,60,0.0
PROD-14668,Alimentos e Bebidas,254.21,521.46,59,9.0
PROD-14669,Alimentos e Bebidas,81.83,137.07,195,134.0
PROD-14670,Vestuário,90.76,147.7,31,176.0
PROD-14671,Alimentos e Bebidas,110.87,222.01,164,68.0
PROD-14672,Utilidades Domésticas,78.51,106.34,25,147.0
PROD-14673,Eletrônicos,216.94,412.61,194,99.0
PROD-14674,Utilidades Domésticas,154.0,260.82,67,152.0
PROD-14675,Vestuário,156.53,294.83,25,18.0
PROD-14676,Eletrônicos,151.34,262.24,11,114.0
PROD-14677,Vestuário,76.51,162.27,602,210.0
PROD-14678,Utilidades Domésticas,243.72,489.53,173,129.0
PROD-14679,Vestuário,225.61,490.11,259,202.0
PROD-14680,Utilidades Domésticas,261.69,430.2,91,111.0
PROD-14681,Alimentos e Bebidas,120.34,171.06,46,254.0
PROD-14682,Eletrônicos,34.94,60.64,81,219.0
PROD-14683,Utilidades Domésticas,161.87,227.29,92,259.0
PROD-14684,Eletrônicos,255.74,488.01,129,89.0
PROD-14685,Utilidades Domésticas,217.75,340.05,96,299.0
PROD-14686,Vestuário,28.68,61.96,246,23.0
PROD-14687,Vestuário,39.64,56.19,26,72.0
PROD-14688,Utilidades Domésticas,48.94,80.77,317,191.0
PROD-14689,Beleza e Perfumaria,58.05,124.5,83,27.0
PROD-14690,Vestuário,290.24,417.26,49,31.0
PROD-14691,Utilidades Domésticas,127.11,205.13,125,64.0
PROD-14692,Vestuário,202.16,301.35,18,129.0
